,ADDRTYPE,SDOT_COLCODE,WEATHER,ROADCOND,LIGHTCOND,SPEEDING,YEAR
17913,Intersection,11,Clear,Dry,Dark - Street Lights On,,2005
17916,Intersection,11,Clear,Dry,Daylight,,2005
17917,Intersection,11,Raining,Wet,Daylight,,2005
17918,Intersection,11,Raining,Wet,Daylight,,2005
17929,Intersection,11,Clear,Dry,Dark - Street Lights On,,2005
17934,Intersection,11,Unknown,Unknown,Dark - Street Lights On,,2005
17940,Intersection,11,Clear,Dry,Daylight,,2005
17963,Intersection,11,Raining,Wet,Dark - Street Lights On,Y,2005
17985,Intersection,11,Clear,Dry,Daylight,,2005
17991,Intersection,11,Raining,Wet,Daylight,,2005
18001,Intersection,11,Clear,Dry,Daylight,,2005
18006,Intersection,11,Raining,Wet,Dark - Street Lights On,,2005
18007,Intersection,11,Raining,Wet,Dark - Street Lights On,,2005
18009,Intersection,11,Clear,Dry,Daylight,,2005
18020,Intersection,11,Clear,Wet,Dark - Street Lights On,,2005
18022,Intersection,11,Clear,Dry,Daylight,,2005
18025,Intersection,11,Clear,Dry,Daylight,,2005
18026,Block,11,Clear,Dry,Daylight,,2005
18029,Intersection,11,Clear,Dry,Daylight,,2005
18030,Intersection,11,Raining,Wet,Daylight,,2005
18035,Block,14,Clear,Dry,Daylight,,2005
18037,Intersection,11,Clear,Dry,Daylight,,2005
18044,Intersection,11,Overcast,Wet,Daylight,,2005
18050,Intersection,11,Clear,Dry,Daylight,,2005
18059,Intersection,11,Overcast,Wet,Daylight,,2005
18068,Intersection,11,Clear,Dry,Daylight,,2005
18094,Intersection,11,Clear,Dry,Dark - Street Lights On,,2005
18096,Intersection,11,Clear,Dry,Daylight,,2005
18100,Intersection,11,Raining,Wet,Dark - Street Lights On,,2005
18101,Intersection,11,Clear,Dry,Daylight,,2005
18112,Intersection,11,Clear,Dry,Daylight,,2005
18115,Intersection,11,Raining,Wet,Dawn,,2005
18123,Block,11,Clear,Dry,Dark - Street Lights Off,,2005
18125,Intersection,11,Clear,Dry,Daylight,,2005
18134,Intersection,11,Clear,Dry,Dusk,Y,2005
18141,Intersection,11,Overcast,Dry,Daylight,,2005
18146,Intersection,11,Clear,Wet,Dark - Street Lights On,,2005
18148,Intersection,11,Raining,Wet,Daylight,,2005
18163,Intersection,11,Overcast,Dry,Daylight,,2005
18164,Intersection,11,Clear,Dry,Daylight,,2005
18177,Intersection,14,Clear,Dry,Daylight,Y,2005
18178,Intersection,11,Clear,Dry,Dark - Street Lights On,,2005
18182,Intersection,11,Clear,Dry,Dusk,,2005
18184,Intersection,14,Unknown,Unknown,Unknown,,2005
18188,Intersection,11,Clear,Dry,Daylight,,2005
18190,Intersection,11,Clear,Dry,Daylight,,2005
18208,Intersection,11,Clear,Dry,Dusk,,2005
18214,Intersection,11,Clear,Dry,Daylight,,2005
18225,Intersection,11,Raining,Wet,Daylight,,2005
18231,Intersection,11,Clear,Dry,Dark - Street Lights On,,2005
18232,Intersection,11,Unknown,Unknown,Unknown,,2005
18233,Intersection,11,Raining,Wet,Daylight,,2005
18238,Intersection,11,Clear,Dry,Daylight,,2005
18241,Intersection,11,Clear,Dry,Daylight,,2005
18245,Intersection,11,Clear,Dry,Dark - Street Lights On,,2005
18246,Intersection,11,Clear,Dry,Daylight,,2005
18263,Intersection,11,Clear,Dry,Daylight,,2005
18270,Intersection,11,Clear,Dry,Daylight,,2005
18272,Intersection,11,Overcast,Dry,Daylight,,2005
18273,Intersection,11,Overcast,Wet,Dark - Street Lights On,,2005
18276,Intersection,11,Clear,Dry,Daylight,,2005
18285,Block,11,Clear,Dry,Daylight,,2005
18295,Intersection,11,Clear,Dry,Daylight,,2005
18297,Intersection,11,Raining,Wet,Dark - Street Lights On,,2005
18300,Intersection,11,Overcast,Wet,Daylight,,2005
18305,Intersection,11,Raining,Wet,Daylight,,2005
18334,Intersection,11,Overcast,Dry,Daylight,,2005
18336,Intersection,11,Clear,Dry,Dark - Street Lights On,,2005
18354,Intersection,11,Overcast,Wet,Dark - Street Lights On,,2005
18360,Intersection,11,Clear,Dry,Daylight,,2005
18363,Intersection,11,Clear,Dry,Daylight,,2005
18377,Intersection,11,Clear,Dry,Daylight,,2005
18379,Intersection,11,Clear,Dry,Daylight,,2005
18385,Intersection,11,Overcast,Wet,Dark - Street Lights On,,2005
18393,Block,14,Clear,Dry,Dark - Street Lights On,,2005
18406,Intersection,11,Clear,Dry,Daylight,,2005
18407,Intersection,11,Clear,Dry,Daylight,,2005
18408,Intersection,11,Clear,Dry,Daylight,,2005
18418,Intersection,11,Raining,Wet,Dusk,,2005
18420,Intersection,11,Clear,Dry,Daylight,,2005
18429,Intersection,11,Clear,Dry,Daylight,,2005
18434,Intersection,14,Clear,Dry,Daylight,,2005
18437,Intersection,11,Clear,Dry,Daylight,,2005
18439,Intersection,11,Clear,Dry,Daylight,,2005
18441,Intersection,11,Clear,Dry,Daylight,,2005
18446,Intersection,11,Unknown,Unknown,Dark - Street Lights On,Y,2005
18447,Intersection,11,Clear,Dry,Daylight,,2005
18449,Intersection,11,Clear,Dry,Daylight,,2005
18455,Intersection,11,Clear,Dry,Daylight,,2005
18457,Block,11,Overcast,Dry,Daylight,,2005
18462,Intersection,11,Clear,Dry,Daylight,,2005
18465,Intersection,11,Clear,Dry,Daylight,,2005
18469,Intersection,11,Raining,Wet,Dark - Street Lights On,,2005
18470,Intersection,11,Raining,Wet,Daylight,,2005
18476,Intersection,11,Clear,Dry,Daylight,,2005
18480,Intersection,11,Raining,Wet,Dark - No Street Lights,,2005
18482,Intersection,11,Clear,Dry,Dark - Street Lights On,,2005
18491,Intersection,11,Clear,Dry,Daylight,,2005
18497,Intersection,11,Clear,Dry,Dark - Street Lights On,,2005
18504,Intersection,11,Overcast,Snow/Slush,Dark - Street Lights On,,2005
18506,Intersection,11,Raining,Wet,Daylight,,2005
18518,Intersection,11,Clear,Dry,Dark - Street Lights On,,2005
18524,Intersection,11,Overcast,Wet,Daylight,,2005
18528,Intersection,11,Clear,Dry,Dark - Street Lights On,,2005
18540,Intersection,11,Overcast,Dry,Daylight,,2005
18542,Intersection,11,Clear,Dry,Daylight,,2005
18554,Intersection,11,Unknown,Unknown,Unknown,Y,2005
18565,Intersection,11,Raining,Wet,Daylight,,2005
18569,Intersection,11,Clear,Dry,Daylight,,2005
18570,Intersection,11,Clear,Dry,Daylight,,2005
18574,Intersection,11,Overcast,Wet,Dark - Street Lights On,,2005
18577,Intersection,11,Raining,Wet,Dark - Street Lights On,,2005
18584,Intersection,11,Clear,Dry,Daylight,,2005
18595,Block,11,Clear,Dry,Daylight,,2005
18600,Intersection,11,Clear,Dry,Daylight,,2005
18606,Intersection,11,Raining,Wet,Dark - Street Lights On,Y,2005
18617,Block,11,Clear,Dry,Daylight,,2005
18618,Intersection,11,Clear,Dry,Daylight,,2005
18621,Intersection,11,Clear,Dry,Dark - Street Lights On,,2005
18624,Intersection,11,Clear,Dry,Daylight,,2005
18628,Intersection,11,Raining,Wet,Dark - Street Lights On,,2005
18629,Intersection,11,Clear,Dry,Daylight,,2005
18637,Intersection,11,Raining,Wet,Daylight,,2005
18644,Intersection,11,Clear,Dry,Daylight,,2005
18651,Intersection,11,Clear,Dry,Daylight,,2005
18654,Block,14,Clear,Dry,Dark - Street Lights On,,2005
